"Story","Title","Result","Date","Stability","Duration (s)"
"HU00 Test del software de la tienda de libros","Registro de usuario satisfactorio en la Book Store","FAILURE","2021-03-10T08:54:44.375738+01:00[Europe/Madrid]","0.0","2.77"
"HU00 Test del software de la tienda de libros","Registro incorrecto de usuarios duplicado en la Book Store","SUCCESS","2021-03-10T08:54:48.819575+01:00[Europe/Madrid]","0.0","1.83"
"HU01 Usuario que inicia en remoto solicita producto","Acceso correcto a Conecta BanBajio","SUCCESS","2021-03-10T08:54:50.656171+01:00[Europe/Madrid]","0.0","0.01"
"HU01 Usuario que inicia en remoto solicita producto","Inicio del flujo CLIENTE INICIA REMOTO-TERMINA SUCURSAL","SUCCESS","2021-03-10T08:54:50.665602+01:00[Europe/Madrid]","0.0","0.01"
"HU01 Usuario que inicia en remoto solicita producto","Inicio del flujo NO CLIENTE INICIA REMOTO-TERMINA SUCURSAL","SUCCESS","2021-03-10T08:54:50.674273+01:00[Europe/Madrid]","0.0","0.01"
"HU02 Usuario no cliente que inicia el proceso de apertura de cuenta","Validacion del campo celular introduciendo un valor correcto","PENDING","2021-03-10T08:54:50.682774+01:00[Europe/Madrid]","0.0","0.05"
"HU02 Usuario no cliente que inicia el proceso de apertura de cuenta","Validacion del campo celular introduciendo un valor incorrecto","PENDING","2021-03-10T08:54:50.739882+01:00[Europe/Madrid]","0.0","0.03"
"HU02 Usuario no cliente que inicia el proceso de apertura de cuenta","Validacion del campo correo electronico introduciendo un valor correcto","PENDING","2021-03-10T08:54:50.775747+01:00[Europe/Madrid]","0.0","0.04"
"HU02 Usuario no cliente que inicia el proceso de apertura de cuenta","Validacion del campo correo electronico introduciendo un valor incorrecto","PENDING","2021-03-10T08:54:50.813846+01:00[Europe/Madrid]","0.0","0.04"
"HU02 Usuario no cliente que inicia el proceso de apertura de cuenta","Interaccion con los links de la pagina","SUCCESS","2021-03-10T08:54:50.853091+01:00[Europe/Madrid]","0.0","0.01"
"HU02 Usuario no cliente que inicia el proceso de apertura de cuenta","Acceso de apertura de cuenta correcto","PENDING","2021-03-10T08:54:50.863138+01:00[Europe/Madrid]","0.0","0.05"
